1024,1024,4,393781000,1000
1024,1024,8,410148000,1000
1024,1024,16,404999000,1000
1024,1024,32,431336000,1000
1024,1024,64,437374000,1000
1024,1024,128,462816000,1000
1024,1024,256,517317000,1000
1024,1024,512,618811000,1000
1024,1024,1024,776414000,1000
1024,1024,4,386870000,1000
1024,1024,8,388350000,1000
1024,1024,16,423275000,1000
1024,1024,32,429871000,1000
1024,1024,64,455514000,1000
1024,1024,128,460802000,1000
1024,1024,256,513627000,1000
1024,1024,512,623040000,1000
1024,1024,1024,791070000,1000
