4,1024,1024,10555000,100000
8,1024,1024,10831000,100000
16,1024,1024,12452000,100000
32,1024,1024,13576000,100000
64,1024,1024,13155000,100000
128,1024,1024,15127000,100000
256,1024,1024,15908000,100000
512,1024,1024,21715000,100000
1024,1024,1024,20423000,100000
2048,1024,1024,22291000,100000
4096,1024,1024,26868000,100000
8192,1024,1024,36835000,100000
16384,1024,1024,48722000,100000
32768,1024,1024,67604000,100000
65536,1024,1024,99280000,100000
131072,1024,1024,149394000,100000
262144,1024,1024,175997000,100000
4,1024,1024,1448000,10000
8,1024,1024,1138000,10000
16,1024,1024,1086000,10000
32,1024,1024,1262000,10000
64,1024,1024,1458000,10000
128,1024,1024,1396000,10000
256,1024,1024,1564000,10000
512,1024,1024,1609000,10000
1024,1024,1024,1898000,10000
2048,1024,1024,2166000,10000
4096,1024,1024,2508000,10000
8192,1024,1024,4007000,10000
16384,1024,1024,4467000,10000
32768,1024,1024,6634000,10000
65536,1024,1024,9795000,10000
131072,1024,1024,14033000,10000
262144,1024,1024,20134000,10000
524288,1024,1024,25661000,10000
1024,4194304,4,91000,100
1024,4194304,8,103000,100
1024,4194304,16,75000,100
1024,4194304,32,53000,100
1024,4194304,64,146000,100
1024,4194304,128,79000,100
1024,4194304,256,76000,100
1024,4194304,512,91000,100
1024,4194304,1024,93000,100
1024,4194304,2048,223000,100
1024,4194304,4096,272000,100
1024,4194304,8192,146000,100
1024,4194304,16384,209000,100
1024,4194304,32768,451000,100
1024,4194304,65536,810000,100
1024,4194304,131072,1144000,100
1024,4194304,262144,2731000,100
1024,4194304,524288,7669000,100
1024,4194304,1048576,13751000,100
1024,4194304,2097152,27327000,100
1024,4194304,4194304,97552000,100
1024,4,1024,16000,100
1024,8,1024,14000,100
1024,16,1024,14000,100
1024,32,1024,15000,100
1024,64,1024,15000,100
1024,128,1024,14000,100
1024,256,1024,17000,100
1024,512,1024,18000,100
1024,1024,1024,25000,100
1024,2048,1024,31000,100
1024,4096,1024,38000,100
1024,8192,1024,29000,100
1024,16384,1024,38000,100
1024,32768,1024,33000,100
1024,65536,1024,59000,100
1024,131072,1024,76000,100
1024,262144,1024,56000,100
1024,524288,1024,61000,100
1024,1048576,1024,58000,100
1024,2097152,1024,70000,100
1024,4194304,1024,121000,100
1024,8388608,1024,148000,100
1024,16777216,1024,180000,100
4,1024,1024,1093000,10000
8,1024,1024,1101000,10000
16,1024,1024,1142000,10000
32,1024,1024,1357000,10000
64,1024,1024,1361000,10000
128,1024,1024,1422000,10000
256,1024,1024,1475000,10000
512,1024,1024,1700000,10000
1024,1024,1024,1902000,10000
2048,1024,1024,2158000,10000
4096,1024,1024,2655000,10000
8192,1024,1024,3135000,10000
16384,1024,1024,5169000,10000
32768,1024,1024,6794000,10000
65536,1024,1024,10947000,10000
131072,1024,1024,12100000,10000
262144,1024,1024,25626000,10000
524288,1024,1024,25676000,10000
1024,4194304,4,94000,100
1024,4194304,8,146000,100
1024,4194304,16,160000,100
1024,4194304,32,92000,100
1024,4194304,64,97000,100
1024,4194304,128,96000,100
1024,4194304,256,148000,100
1024,4194304,512,155000,100
1024,4194304,1024,220000,100
1024,4194304,2048,202000,100
1024,4194304,4096,322000,100
1024,4194304,8192,188000,100
1024,4194304,16384,341000,100
1024,4194304,32768,451000,100
1024,4194304,65536,1006000,100
1024,4194304,131072,1282000,100
1024,4194304,262144,2711000,100
1024,4194304,524288,7679000,100
1024,4194304,1048576,11829000,100
1024,4194304,2097152,30647000,100
1024,4194304,4194304,63940000,100
1024,4,1024,14000,100
1024,8,1024,14000,100
1024,16,1024,12000,100
1024,32,1024,13000,100
1024,64,1024,13000,100
1024,128,1024,17000,100
1024,256,1024,18000,100
1024,512,1024,19000,100
1024,1024,1024,27000,100
1024,2048,1024,25000,100
1024,4096,1024,27000,100
1024,8192,1024,33000,100
1024,16384,1024,41000,100
1024,32768,1024,32000,100
1024,65536,1024,38000,100
1024,131072,1024,45000,100
1024,262144,1024,54000,100
1024,524288,1024,55000,100
1024,1048576,1024,55000,100
1024,2097152,1024,75000,100
1024,4194304,1024,155000,100
1024,8388608,1024,114000,100
